2018-09-13 10:45:25,296 [Worker-34] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\first\apache-maven-3.3.9-bin\apache-maven-3.3.9\conf\settings.xml install
2018-09-13 10:45:46,716 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:45:46,723 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 12 resources
2018-09-13 10:45:46,727 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:45:46,729 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-manage\src\test\resources
2018-09-13 10:45:52,625 [Worker-33] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\zhangjiujun\teach\cgb\jtMobile\jt-sso
2018-09-13 10:45:52,625 [Worker-33] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\first\apache-maven-3.3.9-bin\apache-maven-3.3.9\conf\settings.xml install
2018-09-13 10:46:04,561 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:46:04,570 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 11 resources
2018-09-13 10:46:04,577 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:46:04,578 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-sso\src\test\resources
2018-09-13 10:46:10,494 [Worker-37] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\zhangjiujun\teach\cgb\jtMobile\jt-cart
2018-09-13 10:46:10,494 [Worker-37] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\first\apache-maven-3.3.9-bin\apache-maven-3.3.9\conf\settings.xml install
2018-09-13 10:46:19,761 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:46:19,767 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 9 resources
2018-09-13 10:46:19,772 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:46:19,774 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\zhangjiujun\teach\cgb\jtMobile\jt-cart\src\test\resources
2018-09-13 10:46:27,936 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\zhangjiujun\teach\cgb\jtMobile\jt-order
2018-09-13 10:46:27,937 [Worker-35] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\first\apache-maven-3.3.9-bin\apache-maven-3.3.9\conf\settings.xml install
2018-09-13 10:46:37,980 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-13 10:46:37,991 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-09-13 10:46:37,999 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
